Epoch 2 | Time: 1956 | Nodes: 2240 | Edges: 14022 | log-lik: -1.49 | Elapsed 9712.25 s
Epoch 2 | Time: 1957 | Nodes: 2249 | Edges: 13806 | log-lik: -1.38 | Elapsed 9715.15 s
Epoch 2 | Time: 1958 | Nodes: 2251 | Edges: 13915 | log-lik: -1.38 | Elapsed 9718.11 s
Epoch 2 | Time: 1959 | Nodes: 2590 | Edges: 16469 | log-lik: -1.39 | Elapsed 9722.37 s
Epoch 2 | Time: 1960 | Nodes: 2541 | Edges: 18891 | log-lik: -1.45 | Elapsed 9727.12 s
Epoch 2 | Time: 1961 | Nodes: 2827 | Edges: 22018 | log-lik: -4.65 | Elapsed 9733.14 s
Epoch 2 | Time: 1962 | Nodes: 3591 | Edges: 32244 | log-lik: -2.31 | Elapsed 9741.94 s
Epoch 2 | Time: 1963 | Nodes: 4061 | Edges: 66825 | log-lik: -1.49 | Elapsed 9762.00 s
Epoch 2 | Time: 1964 | Nodes: 4449 | Edges: 93918 | log-lik: -1.42 | Elapsed 9792.91 s
Epoch 2 | Time: 1965 | Nodes: 4782 | Edges: 89435 | log-lik: -1.46 | Elapsed 9821.40 s
Epoch 2 | Time: 1966 | Nodes: 5246 | Edges: 94468 | log-lik: -2.64 | Elapsed 9852.45 s
Epoch 2 | Time: 1967 | Nodes: 5572 | Edges: 111718 | log-lik: -1.91 | Elapsed 9890.63 s
Epoch 2 | Time: 1968 | Nodes: 5402 | Edges: 127333 | log-lik: -2.48 | Elapsed 9929.29 s
Epoch 2 | Time: 1969 | Nodes: 5363 | Edges: 135743 | log-lik: -1.52 | Elapsed 9976.61 s
Epoch 2 | Time: 1970 | Nodes: 5664 | Edges: 136622 | log-lik: -1.75 | Elapsed 10024.72 s
Epoch 2 | Time: 1971 | Nodes: 6050 | Edges: 145354 | log-lik: -1.97 | Elapsed 10078.73 s
Epoch 2 | Time: 1972 | Nodes: 6161 | Edges: 154567 | log-lik: -1.61 | Elapsed 10130.47 s
Epoch 2 | Time: 1973 | Nodes: 6464 | Edges: 158803 | log-lik: -1.65 | Elapsed 10190.16 s
Epoch 2 | Time: 1974 | Nodes: 7486 | Edges: 161710 | log-lik: -1.69 | Elapsed 10253.19 s
Epoch 2 | Time: 1975 | Nodes: 7986 | Edges: 161050 | log-lik: -2.01 | Elapsed 10313.60 s
Epoch 2 | Time: 1976 | Nodes: 8258 | Edges: 160598 | log-lik: -2.02 | Elapsed 10367.13 s
Epoch 2 | Time: 1977 | Nodes: 8546 | Edges: 166060 | log-lik: -1.69 | Elapsed 10427.92 s
Epoch 2 | Time: 1978 | Nodes: 8744 | Edges: 171594 | log-lik: -1.55 | Elapsed 10490.47 s
Epoch 2 | Time: 1979 | Nodes: 9090 | Edges: 179625 | log-lik: -1.65 | Elapsed 10557.61 s
Epoch 2 | Time: 1980 | Nodes: 9767 | Edges: 181826 | log-lik: -1.51 | Elapsed 10621.28 s
Epoch 2 | Time: 1981 | Nodes: 9950 | Edges: 185683 | log-lik: -1.37 | Elapsed 10692.34 s
Epoch 2 | Time: 1982 | Nodes: 10035 | Edges: 195043 | log-lik: -1.80 | Elapsed 10767.15 s
Epoch 2 | Time: 1983 | Nodes: 10204 | Edges: 204268 | log-lik: -1.62 | Elapsed 10842.88 s
